uniqueID,drugName,condition,review,rating,date,usefulCount,sentiment
1.0,Revital H for Woman Tablet, immunity,Looks Effective one Better results are expected,9.0,2022-08-24 00:00:00,20,Positive
2.0,Revital H for Woman Tablet, immunity,Its real and useful product must buy,9.0,2022-08-24 00:00:00,21,Positive
3.0,Revital H for Woman Tablet, immunity,Didn’t feel much change,6.0,2019-11-26 00:00:00,22,Neutral
4.0,Revital H for Woman Tablet, immunity,Very useful Makes the day active and energetic,9.0,2021-04-17 00:00:00,21,Positive
5.0,Dabur Chyawanprash Awaleha, immunity,Very nice product,9.0,2021-10-20 00:00:00,23,Positive
6.0,Dabur Chyawanprash Awaleha, immunity,I loved it good packaging and delicious teste,9.0,2022-01-13 00:00:00,21,Positive
7.0,Dabur Chyawanprash Awaleha, immunity,Worst product,2.0,2021-10-08 00:00:00,30,Negative
8.0,Dabur Chyawanprash Awaleha, immunity,Did not meet expectations,4.0,2021-12-12 00:00:00,24,Negative
9.0,Dabur Ashwagandha Tablets, immunity,Helps in boosting immunity,8.0,2022-06-02 00:00:00,23,Positive
10.0,Dabur Ashwagandha Tablets, immunity,"Very good product ,no doubt to purchase this material",8.0,2022-09-12 00:00:00,34,Positive
11.0,UPAKARMA Ayurveda Tulsi Drops, immunity,Very effective and not very strong,8.0,2023-09-23 00:00:00,34,Positive
12.0,UPAKARMA Ayurveda Tulsi Drops, immunity,Nice product & powerful…,8.0,2021-06-14 00:00:00,32,Positive
13.0,UPAKARMA Ayurveda Tulsi Drops, immunity,Poor quality,6.0,2024-01-11 00:00:00,23,Neutral
14.0,UPAKARMA Ayurveda Tulsi Drops, immunity,Not Good,4.0,2024-02-12 00:00:00,23,Negative
15.0,Baidyanath Panch Tulsi Drops, immunity,Product is good and original,10.0,2023-03-02 00:00:00,27,Positive
16.0,Baidyanath Panch Tulsi Drops, immunity,Very good product and useful. Also good for health,8.0,2023-01-04 00:00:00,30,Positive
17.0,Baidyanath Panch Tulsi Drops, immunity,Normal product,6.0,2022-05-21 00:00:00,20,Neutral
18.0,Baidyanath Panch Tulsi Drops, immunity,The best amongst the many I tried.,9.0,2021-05-23 00:00:00,36,Positive
19.0,PATANJALI SPECIAL CHYAWANPRASH , immunity,"Excellent product,got 2 tins",9.0,2021-11-23 00:00:00,40,Positive
20.0,PATANJALI SPECIAL CHYAWANPRASH , immunity,Very good product.,10.0,2023-01-24 00:00:00,28,Positive
21.0,PATANJALI SPECIAL CHYAWANPRASH , immunity,Very bad,5.0,2024-02-22 00:00:00,26,Negative
22.0,PATANJALI SPECIAL CHYAWANPRASH , immunity,Good product ,8.0,2022-07-17 00:00:00,39,Positive
23.0,HIMALAYA Ashvagandha and Shatavari, immunity,Very good product and packaging is also very good ,10.0,2023-09-25 00:00:00,25,Positive
24.0,HIMALAYA Ashvagandha and Shatavari, immunity,This is average,6.0,2023-11-12 00:00:00,26,Neutral
25.0,HIMALAYA Ashvagandha and Shatavari, immunity,We like to take more,10.0,2023-03-15 00:00:00,38,Positive
26.0,HIMALAYA Ashvagandha and Shatavari, immunity,Good product ,10.0,2024-01-01 00:00:00,29,Positive
27.0,OTRIVIN OXY adult nasal spray,nasal congestion,Good working,10.0,2022-02-21 00:00:00,30,Positive
28.0,OTRIVIN OXY adult nasal spray,nasal congestion,I am not happy,4.0,2021-11-14 00:00:00,24,Negative
29.0,OTRIVIN OXY adult nasal spray,nasal congestion,Excellent to stop running nose. ,9.0,2023-01-15 00:00:00,36,Positive
30.0,OTRIVIN OXY adult nasal spray,nasal congestion,Nice product.,8.0,2022-02-22 00:00:00,40,Positive
31.0,Tata 1mg Saline Nasal Spray,nasal congestion,its effective products,8.0,2023-06-15 00:00:00,39,Positive
32.0,Tata 1mg Saline Nasal Spray,nasal congestion,"Its not a spray, its only liquid and also not working",4.0,2023-08-05 00:00:00,34,Negative
33.0,Tata 1mg Saline Nasal Spray,nasal congestion,Wastage of money,2.0,2023-08-22 00:00:00,35,Negative
